No,Symbol,Company Name,Company Name in Thai,Industry group,"Year 2023
(192 Companies)","Year 2022
(166 Companies)","Year 2021
(143 Companies)","Year 2020
(120 Companies)","Year 2019
(94 Companies)","Year 2018
(76 Companies)","Year 2017
(62 Companies)","Year 2016
(49 Companies)","Year 2015
(50 Companies)"
39,CBG,CARABAO GROUP PCL,?????? ???????????? ?????? (?????),Agro & Food Industry,A,Yes,,,,,,,
40,CENTEL,CENTRAL PLAZA HOTEL PCL,?????? ??????????????????? ?????? (?????),Services,A,Yes,Yes,Yes,Yes,Yes,,,
41,CFRESH,SEAFRESH INDUSTRY PCL,?????? ??????????????? ?????? (?????),Agro & Food Industry,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
42,CHO,CHO THAVEE PCL,?????? ? ??? ?????? (?????),Industrials,,,,,Yes,Yes,Yes,Yes,Yes
43,CK,CH. KARNCHANG PCL,?????? ?.??????? ?????? (?????),Property & Construction,A,,Yes,Yes,,Yes,,,
44,CKP,CK POWER PCL,?????? ???? ???????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,,,,,
45,CM,CHIANGMAI FROZEN FOODS PCL,?????? ?????????????????????? ?????? (?????),Agro & Food Industry,,Yes,,Yes,,,,,
46,COLOR,SALEE COLOUR PCL,?????? ????? ????????? ?????? (?????),Industrials,A,Yes,Yes,Yes,Yes,,,,
47,COM7,COM7 PCL,?????? ????????? ?????? (?????),Services,A,Yes,Yes,,,,,,
48,COTTO,SCG CERAMICS PCL,?????? ??????? ????????? ?????? (?????),Property & Construction,,Yes,,,,,,,
49,CPALL,CP ALL PCL,?????? ???? ????? ?????? (?????),Services,AAA,Yes,Yes,Yes,Yes,Yes,,,
50,CPAXT,CP AXTRA PCL,?????? ???? ?????????? ?????? (?????),Services,AAA,,,,,,,,
51,CPF,CHAROEN POKPHAND FOODS PCL,?????? ?????????????????? ?????? (?????),Agro & Food Industry,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
52,CPN,CENTRAL PATTANA PCL,?????? ????????????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
53,CRC,CENTRAL RETAIL CORPORATION PCL,?????? ???????? ????? ????????????  ?????? (?????),Services,AAA,Yes,Yes,,,,,,
54,CSC,CROWN SEAL PCL,?????? ????? ?????? (?????),Industrials,BBB,,Yes,,,,,,
55,CSL,CS LOXINFO PCL,?????? ????? ?????????? ?????? (?????),Technology,,,,,,,Yes,,
56,DELTA,DELTA ELECTRONICS (THAILAND) PCL,?????? ?????? ????????????? (?????????) ?????? (?????),Technology,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
57,DEMCO,DEMCO PCL,?????? ??????? ?????? (?????),Resources,A,Yes,,,,,,,
58,DMT,DON MUANG TOLLWAY PCL,?????? ?????????????????? ?????? (?????),Services,A,Yes,,,,,,,
59,DRT,DIAMOND BUILDING PRODUCTS PCL,?????? ???????????????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,Yes,Yes,Yes,,
60,EA,ENERGY ABSOLUTE PCL,?????? ???????????????? ?????? (?????),Resources,,Yes,Yes,Yes,Yes,Yes,,,
61,EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL,?????? ???????????????????????????????????? ?????? (?????),Resources,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
62,EGCO,ELECTRICITY GENERATING PCL,?????? ????????? ?????? (?????),Resources,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
